time,equity
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
"2025-09-06 20:00:00.000",10000
